Pattern,Emoji
\bPero Sighting\b,👀
^Confession,🙊
^Misunderstanding,❌
^Today I Went On A Walk,🚶
^Walk of the,🚶
^Question,❓
^(What|Why),❔
^Next Stream,📅
\bDo[cg]tor,🧑‍⚕️
\bDog(gie|gy)?,🐶
\b(FWMC)?scoop\b,🔎
\bRawr n' Response\b,📩
\bSpecial Ruffians\b,✨
\bLifetime Showtime\b,🎤
"\b""?BAU""?DOL",🎤
\bFire N Ice\b,🎤
\bAnime NYC\b,🗽
\bAFA\b,🏟️
\bEnd\b,🫡
\b(Hajimete no Otsukai|Old enough)\b,🛒
\bHOLOCTOBER\b,🎨
\bMama Puppy (&|and) Papa Puppy\b,👨🏼‍👩🏼‍👧🏼‍👧🏼
\bRound\s?1\b,🎳
\bTiniest Ruffian,🍼
\bBugs with\b,🦗
\bENigmatic Recollection,📖
\bGeoGuessr,🌍
\b(holo)?GTA\b,🚗
\bPatra\b,🦀❤️
\bAqua(rium)?\b,⚓
\bA-chan\b,👓
\bAZKi\b,⚒️
\bSui(sei|[\s\-]chan)\b,☄️
\bMiko(chi)?\b,🌸
\bHaachama\b,❤️‍🔥
\bChoco,🍫
\bMarine\b,🏴‍☠️
\bWatame\b,🐑
\bPolka\b,🎪
\bKoyorin?\b,🧪
\b(Asa|Kon)Koyo\b,🧪
\bOllie\b,🧟‍♀️
\bAme(lia)?\b,🔎
\bCalli\b,💀
\bGura\b,🔱
\bIna\b,🐙
\bKiara\b,🐔
\b(Promise|Council(RyS)?)\b,🌟
\bMumei\b,🪶
\bKronii\b,⏳
\bAdvent(rix)?\b,⚠️
\bsleep,😴
\bShiorin? & (Bijou|Biboo)\b,👁‍🗨🗿
\b(Bijou|Biboo)\b,🗿
\bNerissa\b,🎼
\bShiorin?\b,👁‍🗨
\bRebellion\b,⚠️
\bJustice\b,⚖️
\bRaora\b,🐱
\bIcomochi\b,🍡
\bPero\b,💜
\bRuffian,🐾
\bAnim(e|ations?)\b,📺
\bholo(Gra| no Graffiti)\b,📺
\bvoice (pack|drama),📢
(k|M(illon)?) View,▶️
\bvacation,🏖️
\b(holo)?summer\b,🏖️
\b(Val|BAU\-?l)entine\b,💘
\bHalloween\b,🎃
\bThanksgiving\b,🦃
\bdecember\b,☃️
\bwinter\b,☃️
\bsnow,☃️
\b(Christ|X\-)mas\b,🎄
\bholidays?\b,🎄
\bSanta\b,🎅
\bMinecraft\b,⛏️
\bPup Talk\b,📣
\b(Twitter|X) Space,🎙️
\bFWMC 64\b,🎮
\b3D Showcase\b,🎥
\bComiket\b,📚
\bDorokei\b,💰
\bShorts?\b,🎥
\bVideos?\b,🎥
\bAd Break\b,📺
\bCup Noodle,🍜
\b(ani)?song,🎤
\bcover\b,🎤
\bconcert\b,🎤
\bConnect The World\b,🎤
\bBreaking Dimensions\b,🎤
\bpon-de-ring,🍩
\b(gift|present)s?\b,🎁
\b(goods|merch)\b,📦
\b(Twitter|tweets?)\b,🐦
\bbreaking\b,‼️
\bPlay button,▶️
\badventure,🏞️
\ballerg(y|ies)\b,🤧
\banniversar,🎊
\bannounce,📢
\bapology\b,🙇
\bapparel\b,👗
\basset,🖼️
\bASMR\b,🎙️
\baward,🏅
\bbad\b,😢
\bBAU\s?time\b,🕒
\bbear,🐻
\bbee,🐝
\bberserk\b,🤯
\bbirthday,🎂
\bbreak\b,⏸️
\bbunn(y|ies)\b,🐇
\bBYOU\b,🤒
\bcall\b,📲
\bcats?\b,🐱
\bcelebration,🎉
\bchannel,📺
\bchallenge,🏆
\bcit(y|ies)\b,🏙️
\bclaw,🐾
\bcold,🥶
\b(pop)?con(vention)?\b,🎪
\bcosplay,👘
\bcount(\b|down|er|ing),🔢
\bdonut,🍩
\bdream,💤
\bdrink,🍹
\bexpo\b,🎪
\bexposed,📸
\b(figure|nendo|pop up parade\b),🪆
\b(FUWAMOC|FWMC)ODE\s?WORD\b,🗣️
\b(goal|milestone),🏁
\bgood\b,😊
\bgrumpy\b,😠
\bhappy\b,😊
\bhealth\b,❤️‍🩹
\b(holo)?ARK\b,🦕
\bhomework,📚
\bhome,🏠
\bhouse,🏠
\bincident,🚨
\bintro,📺
\bJapan\b,🇯🇵
\bjingle,🎶
\bkaraoke\b,🎤
\blantern,🏮
\blike,👍
\bluck,🍀
\bmarshmallow\b,🍡
\bmember,🪪
\bmic(rophones?)?\b,🎙️
\bmistak,❌
\bmonitor,🖥️
\bmusic,🎼
\bnattou?\b,🫘
\bnew\b,🆕
\bonsen,♨️
\boutfit,👗
\b(petition|survey),📝
\bpoison,☠️
\bpower,🔋
\bprank,🤭
\bpunctual,🕒
\bradio\b,📻
\breplace,🔄
\bsad\b,😢
\bschool,🏫
\bsecret,🤫
\bsexy\b,🔥
\bskat(e|ing),🛹
\bsigning\b,📝
\bsneeze,🤧
\bsore\b,🩹
\bspecial\b,🎉
\bspooky\b,👻
\bstream,📺
\bSuika\b,🍉
\bsurprise,🎁
\btea\b,🍵
\btofu\b,⬜
\bTouhou\b,🌸
\btravel,🧳
\bupdate,🆕
\bwaterpark\b,🔫
\bWonFes\b,🎨
\bwrestling\b,🤼
\bwork\b,💪
\bworld\b,🌍
\b3D\b,🎥
cakes?\b,🍰
\bRIP\b,🪦
