"Date","Episode","Title","Description","Illustrator","Link"
"2023-07-31","Episode #0","【FUWAMOCO MORNING】episode 0: the pilot 🐾 #FWMCMORNING","pilot episodes always end up a bit different than the planned show, huh! 🐾 ","rswxx","https://youtu.be/Qd7ohtlOOkQ"
"2023-08-02","Episode #1","【FUWAMOCO MORNING】episode 1 🐾 #FWMCMORNING","welcome adventrix! ⚠️","Adiv_my","https://youtu.be/4giLWiqvyVo"
"2023-08-04","Episode #2","【FUWAMOCO MORNING】episode 2 🐾 #FWMCMORNING","the start to a new day filled with smiles ✨","Yagudo_bunya","https://youtu.be/YILB_0QF-uI"
"2023-08-07","Episode #3","【FUWAMOCO MORNING】episode 3 🐾 #FWMCMORNING","misunderstanding corner edition❓","Vnltan","https://youtu.be/Nph4ogfhuBE"
"2023-08-09","Episode #4","【FUWAMOCO MORNING】episode 4 🐾 #FWMCMORNING","happy mornings with you! ✨","underdatv","https://youtu.be/cS_4XGXUOeg"
"2023-08-11","Episode #5","【FUWAMOCO MORNING】episode 5 🐾 #FWMCMORNING","FWMC vs. your morning coffee! ✨","O_kudake","https://youtu.be/v5U0pUY24xs"
"2023-08-14","Episode #6","【FUWAMOCO MORNING】episode 6 🐾 #FWMCMORNING","how about a bit of FWMC to start your day? ✨","_8eru","https://youtu.be/VdRKCMgF-Ug"
"2023-08-16","Episode #7","【FUWAMOCO MORNING】episode 7 🐾 #FWMCMORNING","wake up together! ✨","furashii","https://youtu.be/sUJVYegLEN4"
"2023-08-18","Episode #8","【FUWAMOCO MORNING】episode 8 🐾 #FWMCMORNING","spend the last day of the work week together! ✨","wishbone777","https://youtu.be/-UBdZ4tykfI"
"2023-08-21","Episode #9","【FUWAMOCO MORNING】episode 9 🐾 #FWMCMORNING","are you ready to WAKE UP? ✨","profnote","https://youtu.be/4IX46S1AiJk"
"2023-08-23","Episode #10","【FUWAMOCO MORNING】episode 10 🐾 #FWMCMORNING","somehow we're already at episode 10!! ✨","UraMitsuru1206","https://youtu.be/Vi46JBb2aY4"
"2023-08-25","Episode #11","【FUWAMOCO MORNING】episode 11 🐾 #FWMCMORNING","pero pero pero ✨","Yoyoko707","https://youtu.be/dZwzqM4UOME"
"2023-08-28","Episode #12","【FUWAMOCO MORNING】episode 12 🐾 #FWMCMORNING","a new week together ✨","yomomaru_08","https://youtu.be/wz04zoH_THU"
"2023-08-30","Episode #13","【FUWAMOCO MORNING】episode 13 🐾 #FWMCMORNING","wednesday wednesday wednesday ✨","oriinte","https://youtu.be/rD_ZE3DrWlY"
"2023-09-01","Episode #14","【FUWAMOCO MORNING】episode 14 🐾 #FWMCMORNING","end of the week party with you ✨","yeon_yu_","https://youtu.be/ydD-l-36UHk"
"2023-09-04","Episode #15","【FUWAMOCO MORNING】episode 15 🐾 #FWMCMORNING","new week new start ✨","sabamiso8318","https://youtu.be/5Qc-PJ_ewGU"
"2023-09-06","Episode #16","【FUWAMOCO MORNING】episode 16 🐾 #FWMCMORNING","let's make it a good one ✨","decrilus","https://youtu.be/Z3C4pzDIeEo"
"2023-09-08","Episode #17","【FUWAMOCO MORNING】episode 17 🐾 #FWMCMORNING","here comes the jingle results...! ✨","_luna610","https://youtu.be/HRSKx7qshyQ"
"2023-09-11","Episode #18","【FUWAMOCO MORNING】episode 18 🐾 #FWMCMORNING","challenge episode! ✨","koorikannro","https://youtu.be/_scYvetrFEo"
"2023-09-13","Episode #19","【FUWAMOCO MORNING】episode 19 🐾 #FWMCMORNING","wednesday warrior ✨","shadowsinking","https://youtu.be/8w8utBUJwEY"
"2023-09-15","Episode #20","【FUWAMOCO MORNING】episode 20 🐾 #FWMCMORNING","already the 20th episode?! ✨","k0k0midess","https://youtu.be/U1pBlHt7jD8"
"2023-09-18","Episode #21","【FUWAMOCO MORNING】episode 21 🐾 #FWMCMORNING","more challenges?! ✨","ichipon1515","https://youtu.be/ySxu81riSGY"
"2023-09-20","Episode #22","【FUWAMOCO MORNING】episode 22 🐾 #FWMCMORNING","no worries for wednesday ✨","lovely illustration by karupapon 💕","https://youtu.be/_aK_6Wb05hY"
"2023-09-22","Episode #23","【FUWAMOCO MORNING】episode 23 🐾 #FWMCMORNING","end of the week already?! ✨","hiiragisensei","https://youtu.be/RDlng6GMJno"
"2023-09-25","Episode #24","【FUWAMOCO MORNING】episode 24 🐾 #FWMCMORNING","another monday together✨","yina_jp","https://youtu.be/0mS9yvp-SbM"
"2023-09-27","Episode #25","【FUWAMOCO MORNING】episode 25 🐾 #FWMCMORNING","we'll make it through together ✨","Tenshi_uma_uma","https://youtu.be/VzT1MBdQsWE"
"2023-09-29","Episode #26","【FUWAMOCO MORNING】episode 26 🐾 #FWMCMORNING","finally another fun friday✨","doudemoiisakaki","https://youtu.be/A844xQnE97A"
"2023-10-02","Episode #27","【FUWAMOCO MORNING】episode 27 🐾 #FWMCMORNING","new month, new monday ✨","_hinatahirunei","https://youtu.be/PkKdHUz89jY"
"2023-10-04","Episode #28","【FUWAMOCO MORNING】episode 28 🐾 #FWMCMORNING","special wednesday with you ✨","SUICABAR72","https://youtu.be/gwjuPSwi2Ho"
"2023-10-06","Episode #29","【FUWAMOCO MORNING】episode 29 🐾 #FWMCMORNING","finally friday (and some secrets) ✨","TomoYo619","https://youtu.be/Tu6QNPp9d3c"
"2023-10-09","Episode #30","【FUWAMOCO MORNING】episode 30 🐾 #FWMCMORNING","how is it episode 30 already?✨","SE10ON","https://youtu.be/4ljeCZkA2mc"
"2023-10-11","Episode #31","【FUWAMOCO MORNING】episode 31 🐾 #FWMCMORNING","wednesday strength for you ✨","pumpkin_work","https://youtu.be/f270ObaKNZw"
"2023-10-13","friday the 13th","【FUWAMOCO MORNING】friday the 13th 🐾 #FWMCMORNING","i̵͔̠̖͌̈̉̇́̎ẗ̵̢̡̳̦̫̦̫́̌̒͛̀'̷̣̀͐̀́̆s̷̰̦̅͐ ̴̨̻͇͓̼̹̙͋͑f̷̡̩̭͍͇͂̂̓̎̋ü̸̡̙͈̰͚̱̒ẘ̸̧̖̘͈͕͇́̏͐á̶̡̧͔̯̜̬͛́m̶̠̥̮̬̤̮̜̈́̄͂̀̏̈́o̶͚̞͚̐͌͜͝ĉ̵̥̼̀̉̃͝o̷̩͍̠̿̀̉̐͋ ̷̦̂͌ͅm̶͈̣̲̻̖͆̈͘ô̶̢̹̅͊̇̄͝r̸̮͊͌͑n̵̢͉̣̭͚͖̙̿̈́̀i̵̪͙̿̀̄̋͝ͅņ̶͈͎̰̻̘̏g̶͈͔̟͐̓͑̌̄͛͠.̵̡͔̘̣͈̌.̸̡̱̰̔̈́.̶̫͓̃ ","rswxx","https://youtu.be/QW_VwFyUBeU"
"2023-10-16","Episode #32","【FUWAMOCO MORNING】episode 32 🐾 #FWMCMORNING","power for the new week ✨","TomoYo619","https://youtu.be/qTcTR5q0gTk"
"2023-10-18","Episode #33","【FUWAMOCO MORNING】episode 33 🐾 #FWMCMORNING","what day of the week is it again ✨","HARU_hhmn","https://youtu.be/1C4TFSqt_nk"
"2023-10-20","Episode #34","【FUWAMOCO MORNING】episode 34 🐾 #FWMCMORNING","fluffy and fuzzy friday ✨","watashishi","https://youtu.be/WttmEXH3VWs"
"2023-10-23","Episode #35","【FUWAMOCO MORNING】episode 35 🐾 #FWMCMORNING","make it a happy monday ✨","AikoParKim","https://youtu.be/VV4H3SFTb8k"
"2023-10-25","Episode #36","【FUWAMOCO MORNING】episode 36 🐾 #FWMCMORNING","how is it already wednesday ✨","n7k_ngm","https://youtu.be/NRnMHn7bBHI"
"2023-10-27","Episode #37","【FUWAMOCO MORNING】episode 37 🐾 #FWMCMORNING","(not quite) the spookiest friday of the year ✨","sinnamonrolls16","https://youtu.be/JGuhonVvvoE"
"2023-10-30","FUWAMOCO MIDNIGHT","【FUWAMOCO MIDNIGHT】midnight before halloween 🎃 #FWMCMORNING","what happens when the clock strikes midnight? 🍬","Moon_LDL","https://youtu.be/f6Xtez79CNs"
"2023-11-01","Episode #38","【FUWAMOCO MORNING】episode 38 🐾 #FWMCMORNING","survived the spooky season ✨","decrilus","https://youtu.be/X4Anzun9bKk"
"2023-11-03","Episode #39","【FUWAMOCO MORNING】episode 39 🐾 #FWMCMORNING","big weekend party time ✨","ParunPrunPa","https://youtu.be/3Ddj-qG98nU"
"2023-11-06","Episode #40","【FUWAMOCO MORNING】episode 40 🐾 #FWMCMORNING","week goal: more sleep (hopefully) ✨","sameanko","https://youtu.be/V5v4Na0j9Ro"
